Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Status,Furnished Status,Rental Value,Security Deposit,Address,Landmarks,Furnishing,link,Bath,Super Built-up Area,Floor,Age Of Construction,Age of Construction,Balconies,Project,Facing,Overlooking,Additional Rooms,Price,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Covered Parking,Lifts,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Bed,Flooring,Authority Approval,Unit,Type of Ownership,RERA ID,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floor allowed,Floors allowed
"4 BHK 2980 Sq-ft Flat/Apartment  For Rent in Mani Kala,",₹1.4 Lac,"Kankurgachi, Kolkata",4.0,4.0,1.0,,Immediately,Semi-Furnished,₹1.4 Lac,₹4.0 Lac,"Kankurgachi, Kolkata - North, West Bengal","Bengal Chemical, E M Bypass, Kankurgachi",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2980-Sq-ft-Multistorey-Apartment-FOR-Rent-Kankurgachi-in-Kolkata&id=4d423833363032393833,,2980sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,11(Out of 20 Floors),,Less than 5 years,,Mani Kala,East,"Garden/Park, Main Road",Store,₹ 2.38 Cr - ₹ 5.64 Cr,Mani Group,"Fire Fighting Equipment,Library And Business Centre,Kids Play Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,AEROBICS ROOM,Conference Room,Intercom Facility,Visitor Parking,Air Conditioned,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",,"3, 4, 7 BHK Flat","22 Towers , 112 Units",,,,,,,,,,,,Freehold,,,,,,,,,,
1 BHK Residential House  For Rent,"₹3,500","Chinar Park, Kolkata",,,1.0,200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Furnished,"₹3,500","₹12, 000","Dashadrone mandir bagan near radha krishna mandir., Chinar Park, Kolkata - North, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-160-Sq-ft-Residential-House-FOR-Rent-Chinar-Park-in-Kolkata&id=4d423634343136323531,1.0,,Ground(Out of 1 Floors),5 to 10 years,5 to 10 years,,,,Garden/Park,None of these,,,,,,,,,,24 Hours Available,No/Rare Powercut,,,1.0,Ceramic Tiles,,,,,,,,,,,,,
3 BHK 785 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Chetla, Kolkata",3.0,,1.0,785sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,Immediately,Unfurnished,"₹25,000|₹500Monthly Maintenance","₹50, 000","Chetla, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-785-Sq-ft-Multistorey-Apartment-FOR-Rent-Chetla-in-Kolkata&id=4d423732363134303733,1.0,,2(Out of 4 Floors),10 to 15 years,10 to 15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK 625 Sq-ft Flat/Apartment  For Rent in,"₹15,000","Tollygunge, Kolkata",,2.0,1.0,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Immediately,Furnished,"₹15,000|₹300Monthly Maintenance","₹50, 000","Tollygunge, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-625-Sq-ft-Multistorey-Apartment-FOR-Rent-Tollygunge-in-Kolkata&id=4d423832383638383637,,,2(Out of 3 Floors),,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
2 BHK Flat 600 Sq-ft For Rent in,"₹12,000","Sirity, Kolkata",2.0,2.0,1.0,500sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Immediately,Unfurnished,"₹12,000|₹300Monthly Maintenance","₹24, 000","raja ram mohon roy road, Sirity, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Sirity-in-Kolkata&id=4d423833303437333137,,,3(Out of 3 Floors),New Construction,New Construction,,,North - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK 1350 Sq-ft Flat/Apartment  For Rent in South City,","₹58,000","Prince Anwar Shah Road, Kolkata",3.0,2.0,1.0,1250sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,Immediately,Unfurnished,"₹58,000",₹1.8 Lac,"prince Anwar saha road, Prince Anwar Shah Road, Kolkata - South, West Bengal",South City mall,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Rent-Prince-Anwar-Shah-Road-in-Kolkata&id=4d423732353939353033,,,29(Out of 35 Floors),,5 to 10 years,,South City,South - East,Garden/Park,"Study, Servant Room",₹ 1.79 Cr - ₹ 5.44 Cr,South City Projects Kol Ltd.,"Fire Fighting Equipment,Cycling & Jogging Track,Rentable Community Space,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Early Learning Centre,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 10,777 - ₹ 15,524",3 BHK Flats,"5 Towers , 1600 Units",1.0,4.0,,24 Hours Available,No/Rare Powercut,,4.0,,Vitrified,,,,,,,,,,,,,
3 BHK Flat 1374 Sq-ft For Rent in,"₹28,000","New Town Action Area 1, Kolkata, Kolkata",3.0,2.0,,,Immediately,Semi-Furnished,"₹28,000",,"Kolkata, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1374-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423832383637383239,,1374sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,8(Out of 8 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 745 Sq-ft Flat/Apartment  For Rent in,Call for Rent,"Kamarhati, Kolkata",2.0,2.0,1.0,,Immediately,Furnished,,,"27 B T ROAD, Kamarhati, Kolkata - North 24 Parganas District, West Bengal",Opposite  of prabortak jute mill,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-745-Sq-ft-Multistorey-Apartment-FOR-Rent-Kamarhati-in-Kolkata&id=4d423431373035333939,,745sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham,Ground(Out of 4 Floors),5 to 10 years,5 to 10 years,,,North - East,"Garden/Park, Main Road",,,,,,,,,,2 Open,,,,,,Mosaic,,,,,,,,,,,,,
"4 BHK 2364 Sq-ft Flat/Apartment  For Rent in Mani Vista,",₹1.5 Lac,"Tollygunge, Kolkata",4.0,3.0,,,Immediately,Semi-Furnished,₹1.5 Lac,₹3.0 Lac,"Tollygunge, Kolkata, Tollygunge, Kolkata - South, West Bengal","Location Opposite Tollygunge Metro Station, Kolkata. Mani Vista",Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2364-Sq-ft-Multistorey-Apartment-FOR-Rent-Tollygunge-in-Kolkata&id=4d423833303438303833,,2364sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹63/sqft,8(Out of 31 Floors),,5 to 10 years,2.0,Mani Vista,South,Garden/Park,Servant Room,₹ 2.92 Cr - ₹ 4.33 Cr,Mani Group,"Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Water Storage,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting","₹ 10,909 - ₹ 11,429",3 BHK Flats,"2 Towers , 162 Units",1.0,2.0,,24 Hours Available,No/Rare Powercut,1.0,2.0,,Wooden,,,,,,,,,,,,,
"2 BHK 1210 Sq-ft Flat/Apartment  For Rent in Udita the Condoville,","₹40,000","Santoshpur, Kolkata",2.0,2.0,1.0,,Immediately,Unfurnished,"₹40,000",₹1.2 Lac,"E M Bypass, Santoshpur, Kolkata - South, West Bengal",E M Bypass,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1210-Sq-ft-Multistorey-Apartment-FOR-Rent-Santoshpur-in-Kolkata&id=4d423833313830333235,,1210sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,8(Out of 13 Floors),,15 to 20 years,,Udita the Condoville,South - East,Main Road,Store,₹ 1.10 Cr - ₹ 2.20 Cr,,,"₹ 8,920 - ₹ 10,331","2, 3 BHK Flats",,,2.0,1 Open,24 Hours Available,No/Rare Powercut,,2.0,,Vitrified,,,,,,,,,,,,,
"3 BHK 1350 Sq-ft Flat/Apartment  For Rent in South City,","₹55,000","Prince Anwar Shah Road, Kolkata",3.0,2.0,1.0,,Immediately,Semi-Furnished,"₹55,000",₹1.7 Lac,"Prince Anwar Shah Road, Kolkata, Prince Anwar Shah Road, Kolkata - South, West Bengal",South City Residence on Prince Anwar Shah Road,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Rent-Prince-Anwar-Shah-Road-in-Kolkata&id=4d423431363634353033,,1350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹41/sqft,20(Out of 35 Floors),,5 to 10 years,,South City,South,Main Road,Puja Room,₹ 1.79 Cr - ₹ 5.44 Cr,South City Projects Kol Ltd.,"Fire Fighting Equipment,Cycling & Jogging Track,Rentable Community Space,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Early Learning Centre,AEROBICS ROOM,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 10,777 - ₹ 15,524",3 BHK Flats,"5 Towers , 1600 Units",,6.0,1 Open,24 Hours Available,No/Rare Powercut,,6.0,,Vitrified,,,,,,,,,,,,,
3 BHK Flat 1200 Sq-ft For Rent in,"₹25,000","Madurdaha, Kolkata",3.0,3.0,1.0,,Immediately,Furnished,"₹25,000",,"Madurdaha, Kolkata - South, West Bengal",aanandapur police station,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Madurdaha-in-Kolkata&id=4d423431373839383831,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,3(Out of 3 Floors),5 to 10 years,5 to 10 years,,,South,Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Flat 770 Sq-ft For Rent in,₹27.3 Lac,"Mahabubabad, Kolkata",2.0,2.0,,,Immediately,Unfurnished,₹27.3 Lac,,"Kolkata, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-770-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423832333331373933,,"770sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹3,546/sqft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 800 Sq-ft For Rent in,"₹8,500","Garia, Kolkata",2.0,,,,Immediately,Unfurnished,"₹8,500",,"Garia, Kolkata - South 24 Parganas District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Garia-in-Kolkata&id=4d423536363637313039,1.0,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,Ground(Out of 1 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK Residential House  For Rent,"₹7,500","Santragachi, Kolkata",3.0,2.0,,,Immediately,Semi-Furnished,"₹7,500",,"Santragachi, Kolkata - Howrah District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Santragachi-in-Kolkata&id=4d423431363530383131,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹8/sqft,Ground(Out of 1 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 BHK  3200 Sq-ft For Rent in Sanjeeva Town Bungalows,",₹1.0 Lac,"New Town, Kolkata",4.0,4.0,,,Immediately,Furnished,₹1 Lac,₹2.0 Lac,"New Town, Kolkata - East, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Villa-FOR-Rent-New-Town-in-Kolkata&id=4d423639373138393039,,3200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,,,,3.0,,,"Pool, Garden/Park","Puja Room, Servant Room",₹ 1.20 Cr - ₹ 1.60 Cr,,,,,,,,,,,,,,,,", 160 Units",,,,,,,,,,,
"3 BHK Flat 1740 Sq-ft For Rent in Purti Flowers,","₹25,000","Jagannathgarh, Kolkata",3.0,3.0,,1479sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,Immediately,Semi-Furnished,"₹25,000|₹2,500Monthly Maintenance","₹50, 000","Jagannathgarh, Kolkata - South 24 Parganas District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1740-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagannathgarh-in-Kolkata&id=4d423833353134313435,,,4(Out of 8 Floors),5 to 10 years,5 to 10 years,2.0,Purti Flowers,,,,₹ 34.8 Lac - ₹ 84.6 Lac,Purti Realty,"Fire Fighting Equipment,Library And Business Centre,Kids Play Area,Kids Club,Indoor Games Room,Grand Entrance lobby,Health club with Steam / Jaccuzi,Cafeteria/Food Court,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",,"2, 3 BHK Flat","6 Towers , 512 Units",,,,,,1.0,,,,,,,,,,,,,,,,
2 BHK Flat 640 Sq-ft For Rent in,"₹7,500","Shaila Nibas, Sitalatala, Hatiara Road, Kol-157, Kolkata",2.0,,,,Immediately,Semi-Furnished,"₹7,500",,"Kolkata, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-640-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833333131303337,1.0,640sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹12/sqft,Ground(Out of 2 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1700 Sq-ft For Rent in Sushama Apartment,","₹18,000","Haridevpur, Kolkata",3.0,2.0,1.0,1250sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,Immediately,Furnished,"₹18,000|₹1,500Monthly Maintenance",,"Haridevpur, Haridevpur, Kolkata - South, West Bengal",Sri Sri Karunamoyee Kali Temple,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Rent-Haridevpur-in-Kolkata&id=4d423833303437373435,,,3(Out of 3 Floors),5 to 10 years,5 to 10 years,,Sushama Apartment,South - East,Main Road,,₹ 29.6 Lac - ₹ 35.0 Lac,Chakraborty Enterprise,"Kids Play Area,Indoor Games Room,Flower Gardens,Piped Gas,Waste Disposal,Maintenance Staff,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,,"2 Towers , 19 Units",,,,,,,,,"Vitrified, Ceramic Tiles",City Municipal Corporation,,,,,,,,,,,,
"4 BHK 3475 Sq-ft Flat/Apartment  For Rent in Amaya Altius,",₹3.0 Lac,"EM Bypass, Kolkata",4.0,4.0,1.0,,Immediately,Furnished,"₹3 Lac|₹30,000Monthly Maintenance",₹9.0 Lac,"EM Bypass, Kolkata - South, West Bengal",tangra,Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-3475-Sq-ft-Multistorey-Apartment-FOR-Rent-EM-Bypass-in-Kolkata&id=4d423833363930343437,,3475sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹86/sqft,14(Out of 27 Floors),,5 to 10 years,,Amaya Altius,East,Garden/Park,Servant Room,₹ 3.50 Cr - ₹ 4.0 Cr,Amaya Realty,"Fire Fighting Equipment,Meditation Area,Kids Play Area,Indoor Games Room,Flower Gardens,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 14,268 - ₹ 15,000",3 BHK Flats,"2 Towers , 120 Units",,,,,,,,,,,,Freehold,WBRERA000575,,,,,,,,,
3 BHK Builder Floor 1600 Sq-ft For Rent in,"₹30,000","Sector 1 Salt Lake City, Kolkata",3.0,2.0,1.0,1300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,Immediately,Unfurnished,"₹30,000","₹60, 000","Sector 1 Salt Lake City, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Salt-Lake-City-Sector-1-in-Kolkata&id=4d423832363136353635,,,Ground(Out of 2 Floors),,,,,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 900 Sq-ft Flat/Apartment  For Rent in,"₹22,000","Baishnabghata Patuli Township, Kolkata",2.0,2.0,,,Immediately,Furnished,"₹22,000",,"Baishnabghata Patuli Township, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Baishnabghata-Patuli-Township-in-Kolkata&id=4d423832303235343531,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,4(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
> 10 BHK Residential House  For Rent,"₹3,000",Sinthi More,10.0,7.0,,,Immediately,Unfurnished,"₹3,000",,"Sinthi More, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/10-plus-BHK-3000-Sq-ft-Residential-House-FOR-Rent-Sinthi-More-in-Kolkata&id=4d423536363730323231,,3000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹1/sqft,3(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹12,000","Desh Bandhu Nagar, Kolkata",2.0,,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,Immediately,Unfurnished,"₹12,000",,"Deahbandhu nagar Baguihati Kolkata North west bengal, Desh Bandhu Nagar, Kolkata - North, West Bengal",sbi atm,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Residential-House-FOR-Rent-Desh-Bandhu-Nagar-in-Kolkata&id=4d423832333239383939,1.0,,,5 to 10 years,5 to 10 years,,,South - East,"Garden/Park, Main Road",,,,,,,,,,,12 Hours Available,No/Rare Powercut,1.0,,,Marble,City Municipal Corporation,,,,,,,,,,,,
"3 BHK 1203 Sq-ft Flat/Apartment  For Rent in PS  Nautical,","₹32,000","Patuli, Kolkata",3.0,2.0,1.0,,Immediately,Furnished,"₹32,000|₹3,000Monthly Maintenance",₹7.4 Lac,"Near kavi subhas Metro patuli Fair station, Patuli, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1203-Sq-ft-Multistorey-Apartment-FOR-Rent-Patuli-in-Kolkata&id=4d423833363033303435,,1203sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,1(Out of 7 Floors),,5 to 10 years,,PS  Nautical,South - East,"Garden/Park, Main Road","Puja Room, Store, Study, Servant Room",₹ 74.5 Lac - ₹ 1.26 Cr,PS Group & Vinayak Group,"Fire Fighting Equipment,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,AEROBICS ROOM,Mini Cinema Theatre,Banquet Hall,Intercom Facility,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Lift,Power Back Up","₹ 6,919 - ₹ 8,475",3 BHK Flats,"3 Towers , 128 Units",,,,,,,,,,,,Freehold,,,,,,,,,,
2 BHK 930 Sq-ft Flat/Apartment  For Rent in,"₹16,000","Gopal Nagar, Kolkata",2.0,2.0,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,Immediately,Furnished,"₹16,000|₹2,500Monthly Maintenance",,"94 Shahid Nani Saha Sarani Majherhati Alipore Nimta Kolkata North Dumdum West Bengal 700049, Gopal Nagar, Kolkata - South, West Bengal",SBI atm,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-930-Sq-ft-Multistorey-Apartment-FOR-Rent-Gopal-Nagar-in-Kolkata&id=4d423634343431363639,,,1(Out of 4 Floors),Less than 5 years,Less than 5 years,,,East,"Garden/Park, Pool",,,,,,,,,,,,,,,,Ceramic Tiles,City Municipal Corporation,,,,,,,,,,,,
Flat For Rent in,Call for Price,"Shobha Bazar, Kolkata",,,,,Immediately,,,,"Shobha Bazar, Kolkata - North, West Bengal",,,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Rent-Shobha-Bazar-in-Kolkata&id=4d423634343730383037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 970 Sq-ft Flat/Apartment  For Rent in,"₹22,000","Bangur Avenue, Kolkata",2.0,2.0,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,Immediately,Unfurnished,"₹22,000|₹1,000Monthly Maintenance","₹50, 000","278, Block-B, Bangur Avenue, Kolkata-700055, Bangur Avenue, Kolkata - North, West Bengal","Prime location, near metro, airport, rail, malls, safe area, transport",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-970-Sq-ft-Multistorey-Apartment-FOR-Rent-Bangur-Avenue-in-Kolkata&id=4d423833363034313133,,,3(Out of 6 Floors),New Construction,New Construction,,,North,,None of these,,,,,,,,,,24 Hours Available,No/Rare Powercut,1.0,1.0,,Vitrified,,,,,,,,,,,,,
1 BHK 450 Sq-ft Flat/Apartment  For Rent in,"₹7,000","Subhas Pally Dankuni, Kolkata",,,1.0,350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,Immediately,Unfurnished,"₹7,000|₹400Monthly Maintenance","₹14, 000","Skg mansion, dankuni., Subhas Pally Dankuni, Kolkata - Howrah District, West Bengal","Behind HDFC BANK, Dankuni Branch",Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423738303738373735,1.0,,2(Out of 4 Floors),New Construction,New Construction,,,South - East,,None of these,,,,,,,1.0,,1 Covered,24 Hours Available,No/Rare Powercut,5.0,,1.0,Vitrified,,,,,,,,,,,,,
"2 BHK 850 Sq-ft Flat/Apartment  For Rent in Patuli Apartment,","₹15,000","Patuli, Kolkata",2.0,2.0,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Immediately,Unfurnished,"₹15,000","₹30, 000","Near patuli fairstation, Patuli, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Patuli-in-Kolkata&id=4d423734383338373435,,,1(Out of 3 Floors),5 to 10 years,5 to 10 years,,Patuli Apartment,South - East,"Garden/Park, Main Road",,₹ 80.0 Lac - ₹ 1.03 Cr,Hassan Builders,"Vaastu Compliant,Security,Power Back Up",,,,,,,,,,,,,,,Freehold,,,,,,,,,,
2 BHK 900 Sq-ft Flat/Apartment  For Rent in,"₹20,000","Arabinda Nagar Regent Park, Kolkata",2.0,2.0,1.0,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Immediately,Furnished,"₹20,000|₹1,000Monthly Maintenance","₹40, 000","139 A aurobindo nagar Kolkata 700032, Arabinda Nagar Regent Park, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423732353936333831,,,1(Out of 4 Floors),15 to 20 years,15 to 20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
